ibaro;i_side;length
0;-17;0.1176
1;-16;0.106051131
2;-15;0.095332862
3;-14;0.085394853
4;-13;0.076186765
5;-12;0.067658258
6;-11;0.059758993
7;-10;0.052438631
8;-9;0.045646833
9;-8;0.039333258
10;-7;0.033447568
11;-6;0.027939423
12;-5;0.022758484
13;-4;0.017854412
14;-3;0.013176867
15;-2;0.008675509
16;-1;0.0043
17;0;0
18;1;0.0043
19;2;0.008618288
20;3;0.012967055
21;4;0.017358495
22;5;0.021804797
23;6;0.026318155
24;7;0.030910761
25;8;0.035594805
26;9;0.040382481
27;10;0.045285979
28;11;0.050317493
29;12;0.055489213
30;13;0.060813332
31;14;0.066302041
32;15;0.071967532
33;16;0.077821998
34;17;0.083877631
35;18;0.090146621
36;19;0.096641161
37;20;0.103373443
38;21;0.110355659
39;22;0.1176
